"region","egalDem","suff","eduEqual","womenRep"
"The West",0.791,1,1.00258994102478,32.1631585661437
"Latin America",0.406,1,1.00837498903274,22.1556886227545
"Eastern Europe",0.4115,1,0.996490001678467,20
"Africa",0.2565,1,0.956690013408661,16.6666666666667
"Asia",0.274,1,1.00223481655121,15.9574468085106
"Middle East",0.18,1,0.994140028953552,10.4615384615385
