"region","egalDem","eduEqual","womenRep"
"Latin America",0.35825,0.0379549711942722,17.1428571428571
"Middle East",0.12875,0.0546100139617911,16.7906265919511
"The West",0.074,0.035144954919818,16.5887445887446
"Africa",0.21475,0.166722506284711,15.7367933271547
"Asia",0.24225,0.0648677498102153,14.6076341469161
"Eastern Europe",0.3455,0.0210075080394776,9.8968253968254
